Date,Open,High,Low,Close,Adj Close,Volume
2024-02-19,0.653740,0.655100,0.653398,0.653791,0.653791,0
2024-02-20,0.653078,0.657810,0.652240,0.653078,0.653078,0
2024-02-21,0.655350,0.657419,0.654050,0.655350,0.655350,0
2024-02-22,0.655320,0.659530,0.654110,0.655320,0.655320,0
2024-02-23,0.655910,0.658300,0.655162,0.655910,0.655910,0
2024-02-26,0.656392,0.656448,0.653351,0.656538,0.656538,0
2024-02-27,0.653960,0.656610,0.652640,0.653960,0.653960,0
2024-02-28,0.654390,0.655100,0.649000,0.654390,0.654390,0
2024-02-29,0.649470,0.653020,0.648730,0.649470,0.649470,0
2024-03-01,0.649840,0.653330,0.649090,0.649840,0.649840,0
2024-03-04,0.652788,0.653700,0.651100,0.652788,0.652788,0
2024-03-05,0.650762,0.652103,0.647941,0.650762,0.650762,0
2024-03-06,0.650390,0.658059,0.649310,0.650390,0.650390,0
2024-03-07,0.656630,0.662510,0.656469,0.656630,0.656630,0
2024-03-08,0.662130,0.666660,0.661460,0.662130,0.662130,0
2024-03-11,0.662431,0.662910,0.659720,0.662431,0.662431,0
2024-03-12,0.661551,0.663670,0.658590,0.661551,0.661551,0
2024-03-13,0.660730,0.662700,0.660050,0.660730,0.660730,0
2024-03-14,0.662760,0.663140,0.657190,0.662760,0.662760,0
2024-03-15,0.657930,0.657912,0.655329,0.657930,0.657930,0
2024-03-18,0.655798,0.657500,0.655471,0.655798,0.655798,0
2024-03-19,0.655751,0.657050,0.650440,0.655751,0.655751,0
2024-03-20,0.652640,0.654193,0.651190,0.652640,0.652640,0
2024-03-21,0.659780,0.663440,0.656230,0.659780,0.659780,0
2024-03-22,0.657419,0.657808,0.651101,0.657419,0.657419,0
2024-03-25,0.651580,0.654800,0.651088,0.651580,0.651580,0
2024-03-26,0.653890,0.656100,0.653190,0.653890,0.653890,0
2024-03-27,0.653898,0.653900,0.651290,0.653898,0.653898,0
2024-03-28,0.652200,0.654200,0.648600,0.652200,0.652200,0
2024-03-29,0.651678,0.653540,0.650930,0.651678,0.651678,0
2024-04-01,0.653300,0.654000,0.648110,0.653300,0.653300,0
2024-04-02,0.648790,0.652320,0.648550,0.648790,0.648790,0
2024-04-03,0.651440,0.656200,0.650370,0.651440,0.651440,0
2024-04-04,0.656900,0.661901,0.656580,0.656900,0.656900,0
2024-04-05,0.658770,0.659413,0.655020,0.658770,0.658770,0
2024-04-08,0.657022,0.661201,0.656030,0.657022,0.657022,0
2024-04-09,0.660500,0.664370,0.659910,0.660500,0.660500,0
2024-04-10,0.662850,0.663400,0.650670,0.662850,0.662850,0
2024-04-11,0.650720,0.655270,0.650280,0.650720,0.650720,0
2024-04-12,0.654061,0.654300,0.646470,0.654061,0.654061,0
2024-04-15,0.647580,0.649519,0.645440,0.647580,0.647580,0
2024-04-16,0.644250,0.644272,0.639799,0.644250,0.644250,0
2024-04-17,0.641280,0.643800,0.640389,0.641280,0.641280,0
2024-04-18,0.643981,0.645800,0.642650,0.643981,0.643981,0
2024-04-19,0.642470,0.643180,0.636560,0.642470,0.642470,0
2024-04-22,0.642562,0.645490,0.642510,0.642599,0.642599,0
2024-04-23,0.645286,0.649098,0.644130,0.645286,0.645286,0
2024-04-24,0.648890,0.652900,0.648350,0.648890,0.648890,0
2024-04-25,0.649700,0.653600,0.648640,0.649700,0.649700,0
2024-04-26,0.652320,0.655480,0.651800,0.652320,0.652320,0
2024-04-29,0.654140,0.658718,0.653700,0.654140,0.654140,0
2024-04-30,0.656190,0.656600,0.648681,0.656190,0.656190,0
2024-05-01,0.647800,0.649730,0.646640,0.647800,0.647800,0
2024-05-02,0.653190,0.654810,0.651660,0.653190,0.653190,0
2024-05-03,0.657140,0.665090,0.656500,0.657140,0.657140,0
2024-05-06,0.660908,0.663800,0.660580,0.660908,0.660908,0
2024-05-07,0.662392,0.664200,0.658720,0.662392,0.662392,0
2024-05-08,0.658920,0.659413,0.655860,0.658920,0.658920,0
2024-05-09,0.657680,0.661210,0.656590,0.657680,0.657680,0
2024-05-10,0.662100,0.662710,0.659680,0.662100,0.662100,0
2024-05-13,0.660101,0.663086,0.658630,0.660101,0.660101,0
2024-05-14,0.661288,0.662910,0.659300,0.661288,0.661288,0
2024-05-15,0.662603,0.668670,0.662420,0.662603,0.662603,0
2024-05-16,0.670107,0.671470,0.665470,0.670107,0.670107,0
2024-05-17,0.668315,0.669150,0.664889,0.668315,0.668315,0
2024-05-20,0.670071,0.671096,0.666280,0.670071,0.670071,0
2024-05-21,0.667209,0.668000,0.664740,0.667209,0.667209,0
2024-05-22,0.666710,0.668489,0.663330,0.666710,0.666710,0
2024-05-23,0.661919,0.665860,0.661594,0.661919,0.661919,0
2024-05-24,0.660149,0.663614,0.659320,0.660149,0.660149,0
2024-05-27,0.662401,0.666200,0.662309,0.662401,0.662401,0
2024-05-28,0.665562,0.668003,0.665340,0.665562,0.665562,0
2024-05-29,0.664800,0.666300,0.661530,0.664800,0.664800,0
2024-05-30,0.661370,0.664894,0.659120,0.661370,0.661370,0
2024-05-31,0.663030,0.667601,0.662790,0.663030,0.663030,0
2024-06-03,0.665690,0.669420,0.663330,0.665690,0.665690,0
2024-06-04,0.669008,0.669870,0.663170,0.669008,0.669008,0
2024-06-05,0.664620,0.666600,0.662691,0.664620,0.664620,0
2024-06-06,0.665779,0.668340,0.663390,0.665779,0.665779,0
2024-06-07,0.666960,0.668181,0.658150,0.666960,0.666960,0
2024-06-10,0.658271,0.661100,0.657650,0.658271,0.658271,0
2024-06-11,0.660895,0.661100,0.658910,0.660895,0.660895,0
2024-06-12,0.660770,0.670200,0.659770,0.660770,0.660770,0
2024-06-13,0.666290,0.667481,0.663270,0.666290,0.666290,0
2024-06-14,0.663310,0.664110,0.659260,0.663310,0.663310,0
2024-06-17,0.661288,0.662000,0.658570,0.661288,0.661288,0
2024-06-18,0.662208,0.665650,0.660320,0.662208,0.662208,0
2024-06-19,0.666120,0.667900,0.666030,0.666120,0.666120,0
2024-06-20,0.667530,0.667900,0.665451,0.667530,0.667530,0
2024-06-21,0.666070,0.667100,0.663209,0.666070,0.666070,0
2024-06-24,0.663500,0.666790,0.662640,0.663500,0.663500,0
2024-06-25,0.665460,0.667240,0.663600,0.665460,0.665460,0
2024-06-26,0.664480,0.669100,0.663660,0.664480,0.664480,0
2024-06-27,0.664478,0.667400,0.664028,0.664478,0.664478,0
2024-06-28,0.665060,0.668470,0.662090,0.665060,0.665060,0
2024-07-01,0.667401,0.668807,0.664540,0.667401,0.667401,0
2024-07-02,0.665460,0.667130,0.663500,0.665460,0.665460,0
2024-07-03,0.666830,0.673351,0.666570,0.666830,0.666830,0
2024-07-04,0.671090,0.673300,0.671110,0.671090,0.671090,0
2024-07-05,null,null,null,null,null,null
2024-07-08,0.674659,0.676087,0.673540,0.674659,0.674659,0
2024-07-09,0.674320,0.674900,0.672430,0.674320,0.674320,0
2024-07-10,0.674150,0.675311,0.673320,0.674150,0.674150,0
2024-07-11,0.675180,0.679860,0.674759,0.675180,0.675180,0
2024-07-12,0.676850,0.679400,0.675460,0.676850,0.676850,0
2024-07-15,0.677200,0.679117,0.676320,0.677200,0.677200,0
2024-07-16,0.676330,0.676261,0.671540,0.676330,0.676330,0
2024-07-17,0.673200,0.675700,0.672470,0.673200,0.673200,0
2024-07-18,0.673070,0.674400,0.671620,0.673070,0.673070,0
2024-07-19,0.670550,0.670800,0.668430,0.670550,0.670550,0
2024-07-22,0.669631,0.669613,0.663190,0.669631,0.669631,0
2024-07-23,0.664011,0.664540,0.661190,0.664011,0.664011,0
2024-07-24,0.661209,0.661419,0.658440,0.661209,0.661209,0
2024-07-25,0.657480,0.657592,0.652000,0.657480,0.657480,0
2024-07-26,0.654300,0.657170,0.654030,0.654300,0.654300,0
2024-07-29,0.655500,0.656987,0.652460,0.655500,0.655500,0
2024-07-30,0.655141,0.656300,0.653000,0.655141,0.655141,0
2024-07-31,0.654150,0.654220,0.648030,0.654150,0.654150,0
2024-08-01,0.654700,0.655990,0.651470,0.654700,0.654700,0
2024-08-02,0.649490,0.654760,0.648770,0.649490,0.649490,0
2024-08-05,0.649722,0.651088,0.636549,0.649722,0.649722,0
2024-08-06,0.651550,0.653971,0.647501,0.651550,0.651550,0
2024-08-07,0.651500,0.657518,0.651350,0.651500,0.651500,0
2024-08-08,0.651597,0.658200,0.651279,0.651597,0.651597,0
2024-08-09,0.659200,0.660720,0.656750,0.659200,0.659200,0
2024-08-12,0.656978,0.660502,0.657022,0.656978,0.656978,0
2024-08-13,0.658532,0.661660,0.657970,0.658532,0.658532,0
2024-08-14,0.663860,0.664408,0.660960,0.663860,0.663860,0
2024-08-15,0.660001,0.663820,0.657530,0.660001,0.660001,0
2024-08-16,0.661249,0.664920,0.661090,0.661249,0.661249,0
2024-08-19,0.667298,0.672314,0.667330,0.667298,0.667298,0
2024-08-20,0.673532,0.674800,0.671398,0.673532,0.673532,0
2024-08-21,0.674727,0.675700,0.673290,0.674727,0.674727,0
2024-08-22,0.674970,0.675402,0.670030,0.674970,0.674970,0
2024-08-23,0.670790,0.673083,0.670417,0.672622,0.672622,0
